code,product_name,brands,countries_tags,categories_tags,labels_tags,ingredients_text,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,unsaturated-fat_100g,monounsaturated-fat_100g,omega-9-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,serum-proteins_100g,salt_100g,added-salt_100g
8999898972273,Biokul Greek Yog plain,Biokul,en:indonesia,,en:no-added-sugar,,586,,6,4,,,,,,,,8,3,,0,,,5,,0.06,
8999898972303,Biokul Greek Yog strawberry,Biokul,en:indonesia,,,,669,,8,6,,,,,,,,16,10,,,,,6,,,
8999898975427,Peach Topping Yogurt,Diamond,en:indonesia,,,,586,,6,,,,,,,,0,16,4,,1,,,6,,0.125,
8999905568840,Mézes  chilis csirkecomb,,en:indonesia,,,,408,,4.74285714285714,0.657142857142857,,,,,,,,6.57142857142857,1.42857142857143,,1.14285714285714,,,6.57142857142857,,0.5,
8999918182095,Gabin super,Anekabis,en:indonesia,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:white-breads,en:bread-white-from-wheat-flour-of-the-highest-grade-gost-26987-86",en:anekabis,,140,,5,3,,,,,,,,3,,,,,,,,,
8999918383188,Cream Crackers,,en:indonesia,,,,502,,40,0,,,,,,,,17,1,,0,,,2,,0.175,
8999988901312,Acaraki can 320ml,Acaraki,en:indonesia,,,RH-30,67.3,,0.448,0.142,,0.0755,,0.0991,,,,2.95,0.145,,0.97,,,0.355,,0.0000152,
8999999002503,Kecap Manis,Bango,"en:france,en:indonesia","en:condiments,en:sauces,en:soy-sauces,en:groceries",en:halal,"Extrait de soja noir, eau. sucre,  sel",1305,,0,0,,,,,,,,76,74,,,,,2.3,,11.25,
8999999005610,Almond ice cream,Magnum,en:indonesia,,,,1203,,18.75,12.5,,,,,,,,25,20,,,,,3.75,,,
8999999035051,wall's,Oreo,en:indonesia,,,,586,,70,6,,,,,,,,,11,,1,,,2,,125,
8999999195649,Sari Wangi 100% Teh Asli,"Unilever,Sari Wangi",en:indonesia,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas",en:halal,TEH HITAM,0,,0,0,,,,,,,,0,0,,0,,,0,,0,
8999999275440,Shaky Shake,Walls,en:indonesia,,,,418,,3,,,,,,,,,16,,,,,,2,,,
8999999502393,Royco Rasa Sapi,Royco,en:indonesia,,,,0,,0,0,,,,,,,,0,0,,0,,,0,,0,
8999999513757,Cornetto  Oreo,Wall’s,en:indonesia,,,,913,,10,7.27272727272727,,,,,,,,30,18.1818181818182,,1.81818181818182,,,1.81818181818182,,,
8999999534271,Unicornetto,Wall’s Cornetto,en:indonesia,,,,624,,5.22388059701492,4.47761194029851,,,,,,,,23.134328358209,14.9253731343284,,0.74626865671642,,,1.49253731343284,,,
8999999535490,Feast-Wich,Wall’s,en:indonesia,,,,802,,8.33333333333333,5.83333333333333,,,,,,,,25.8333333333333,13.3333333333333,,,,,1.66666666666667,,,
8999999548674,Cornetto unicorn,,en:indonesia,,,,1029,,,,,,,,,,,,,,,,,,,,
8999999556679,Minion Paddle pop,,en:indonesia,,,,628,,4.16666666666667,,,,,,,,,25,,,,,,1.66666666666667,,,
8999999605445,Walls Oreo Ice Cream,Walls,en:indonesia,,,,1200,,16.2,,,,,,,,,30,18.8,,2.5,,,2.5,,0.406,
8999999609269,Tropical Delight Ice Cream,Wall's,en:indonesia,,en:halal,,377,,3,2.5,,,,,,,0,14,8,,,,,1,,,
8999999610142,Paddle Pop Wiggly Jelly,Wall's,en:indonesia,,,,488,,0,0,,,,,,,0,30,18.3,,0,,,0,,0.125,
9300644015608,Campbell’s Mushroom Potage Condense Soup,Campbell’s,en:indonesia,,,,293,,2.8,,,,,,,,,8.5,,,,,,2.4,,,
9300682051422,M&Ms Chocolate Bar Cookies,M&Ms,en:indonesia,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:chocolate-candies,en:bonbons,en:bars-covered-with-chocolate",,,,,5,3,,,,,,,,9.8,9.13,,,,,,,0.0389,
9310155008952,Penne,San Remo,en:indonesia,,,,1560,,2,,,,,,,,,72,2.48,,3.04,,,12.5,,0.076,
9310155009577,Pasta gluten free,San Remo,en:indonesia,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:specific-products,en:pastas,en:products-for-specific-diets,en:products-without-gluten,en:gluten-free-pasta,en:gluten-free-penne","en:no-gluten,en:no-eggs",,1480,,1.9,0.5,,,,,,,,76.5,2,,1.1,,,8,,0.05,
9311931024036,Coffeemix 3 in 1,INDOCAFE,"en:indonesia,en:thailand","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:coffees,en:instant-beverages,en:instant-coffees","en:halal,en:bpom-ri","Sugar, non-dairy creamer, instant coffee.",1880,,10,10,,,,,,,,85,65,,,,,5,,0.05,
9311931202205,,MaxTea,en:indonesia,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:4",,"Sugar, instant tea, malic acid (acidity regulator), natural lemon flavour, vitamin C.",1670,,0,0,,,,,,,,100,96,,,,,0,,0,
9319133333574,"Carman's Super Berry Muesli Bars (Cranberry, Blueberry & Goji)",Carman's,"en:australia,en:indonesia,en:malaysia,en:singapore","en:snacks,en:sweet-snacks,en:bars,en:cereal-bars","en:vegetarian,en:vegan,en:australian-made,en:health-star-rating,en:health-star-rating-4","Carman's Muesli Blend 80% (Whole Grain _Oats_ 46%, Seeds 16% [Pepitas, _Sesame_ Seeds, Sunflower Seeds], Fruit 14% [Berries (Cranberries 4.3%, Goji Berries 2.9%, Blueberries 1.4%), Currants, Coconut 2.7%], Sunflower Oil, Nuts 6% [_Almonds_, _Pecans_], Golden Syrup, _Oat_ Flour, Cinnamon), Glucose, Natural Vanilla Flavour.",1860,,20.7,4,,,,,,,,50.9,16.3,,7,,,9.9,,0.065,
